Term,Definition,Alphabet,Slug,URL,Image
YARN ResourceManager,The master daemon in YARN that allocates and manages computing resources.,Y,,,
YAML Schema,A definition of structure and types for validating YAML documents.,Y,,,
Yagi-Uda Array,A type of directional antenna used for long-range wireless transmission.,Y,,,
YCbCr Conversion,The process of converting RGB video signals to YCbCr format for compression.,Y,,,
Yahoo Finance API,A web API for retrieving real-time financial market data.,Y,,,
Y2K Bug,A computer flaw that occurred due to the use of two-digit year formats before 2000.,Y,,,
YAML Serializer,A library function that converts data objects into YAML format.,Y,,,
Yield Function,A programming function that produces output values sequentially on each iteration.,Y,,,
Yellow LED,"A light-emitting diode that produces yellow light, commonly used in indicators.",Y,,,
Yellow Wire Protocol,A hypothetical reference to debugging communication lines in electronics.,Y,,,
Yotta Scale,Refers to data or computing systems handling yottabyte-scale storage or processing.,Y,,,
Y-Branch Splitter,An optical or electronic component that divides signals into multiple paths.,Y,,,
Yottahertz,"A frequency unit equal to 10²⁴ hertz, mainly theoretical in use.",Y,,,
Yaw Sensor,A sensor measuring the rotational velocity of a device around its vertical axis.,Y,,,
YAML Template,A reusable YAML configuration structure for defining repeatable setups.,Y,,,
Yaw Rate,"The rate at which an object rotates around its vertical axis, used in robotics and navigation.",Y,,,
YUV420,A chroma subsampling format used in video encoding for data compression.,Y,,,
YCbCr444,A color format used in high-quality digital video transmission.,Y,,,
Yubikey,A hardware authentication device that supports two-factor and passwordless login.,Y,,,
Y-axis Scaling,The method of adjusting the range of values shown on the Y-axis in visualizations.,Y,,,
Yaw Correction,A stabilization process used in drones and robotics to maintain direction.,Y,,,
YAML Loader,A function that reads and converts YAML text into structured data.,Y,,,
Yagi Gain,The amplification property of a Yagi antenna measured in decibels (dB).,Y,,,
Yahoo Mail API,An API for accessing Yahoo Mail services programmatically.,Y,,,
YCbCr Decoder,A hardware or software component that converts YCbCr signals back to RGB.,Y,,,
Zero-Day Vulnerability,A software security flaw unknown to the vendor and exploitable by attackers.,Z,,,
Zero Trust Architecture,A security model requiring strict identity verification for every user and device.,Z,,,
Zigbee,A wireless communication protocol for IoT and embedded systems.,Z,,,
Zoom,A popular video conferencing application used for online communication.,Z,,,
Zener Diode,An electronic component that allows current to flow in reverse after a specific voltage.,Z,,,
Zener Breakdown,The phenomenon in a Zener diode when reverse voltage exceeds its breakdown voltage.,Z,,,
Zero Padding,"Adding zeros to data, often used in signal processing or cryptography.",Z,,,
Zero Knowledge Proof,A cryptographic method that allows one party to prove knowledge without revealing the data itself.,Z,,,
Zero-Based Indexing,"A numbering convention where counting starts from zero, used in most programming languages.",Z,,,
Zero-Based Budgeting,A budgeting technique where all expenses must be justified from zero each period.,Z,,,
Zombie Process,A defunct process that remains in a system's process table after completion.,Z,,,
Zip File,A compressed archive format that reduces file size and groups multiple files.,Z,,,
Zipping,The process of compressing files into a ZIP archive.,Z,,,
Z-Index,A CSS property that defines the stacking order of elements on a webpage.,Z,,,
Zone File,A file containing DNS records for a specific domain.,Z,,,
Zone Transfer,The process of copying DNS records from a master to a secondary DNS server.,Z,,,
Zoom In,Increasing the visual scale of content in design or web interfaces.,Z,,,
Zoom Out,Decreasing the visual scale of content in a UI or visualization.,Z,,,
Zoned Storage,A data storage method that divides devices into zones for improved efficiency.,Z,,,
Zigzag Antenna,A type of antenna used for broadband frequency transmission.,Z,,,
Zilog Z80,An 8-bit microprocessor widely used in early computers and embedded systems.,Z,,,
Zigzag Code,A data compression pattern used in JPEG encoding.,Z,,,
Zener Voltage,The voltage at which a Zener diode begins to conduct in reverse.,Z,,,
Zipping Algorithm,"The algorithm used to compress files, such as DEFLATE in ZIP archives.",Z,,,
ZSH (Z Shell),"An advanced Unix shell with scripting, customization, and plugin support.",Z,,,
Zlib,A compression library used in many programming languages for data compression.,Z,,,
Zscore,A statistical measure indicating how many standard deviations a value is from the mean.,Z,,,
Zigzag Scanning,A technique in image compression to order coefficients efficiently.,Z,,,
Zone-Based Firewall,A firewall configuration where rules are applied based on network zones.,Z,,,
Zero Crossing Detector,An electronic circuit that identifies when a signal passes through zero voltage.,Z,,,
Zoned Namespace (ZNS),A feature in NVMe drives that optimizes data placement and reduces write amplification.,Z,,,
Zero Latency,A system design aiming to eliminate or minimize delay in processing or transmission.,Z,,,
Zoom Lens,A camera lens that allows varying focal lengths without changing lenses.,Z,,,
Zonal Data Model,A GIS data model dividing space into zones for analysis.,Z,,,
Zone of Influence,"The area affected by an action or phenomenon, often used in networking or hydrology.",Z,,,
Zener Effect,The quantum mechanical effect that allows Zener diodes to conduct in reverse bias.,Z,,,
Zigzag Stitch,A type of sewing machine stitch; metaphorically used in algorithms for alternating patterns.,Z,,,
Zero Fill,Writing zeros to a storage area to erase data securely.,Z,,,
Zero Crossing,The point at which a signal waveform crosses the zero amplitude level.,Z,,,
Zoned DateTime,A Java or Python class for representing date and time with a time zone.,Z,,,
Zoned Storage Device,A storage device supporting zoned namespace operations for efficiency.,Z,,,
Zero Configuration Networking (Zeroconf),A technology allowing devices to automatically discover each other without manual setup.,Z,,,
ZeroMQ,A high-performance asynchronous messaging library for distributed systems.,Z,,,
Zig,A modern systems programming language focused on performance and safety.,Z,,,
Zookeeper,A distributed coordination service by Apache used for managing configuration and synchronization.,Z,,,
Zoned RAID,A RAID architecture that separates drives into performance-based zones.,Z,,,
Z-order Curve,A method for mapping multidimensional data to one dimension while preserving locality.,Z,,,
Zombie Load Attack,A CPU vulnerability that leaks sensitive data from buffers.,Z,,,
Zoomable User Interface (ZUI),A UI design that lets users zoom in/out for content navigation.,Z,,,
